"","RowID","Distillery","Body","Sweetness","Smoky","Medicinal","Tobacco","Honey","Spicy","Winey","Nutty","Malty","Fruity","Floral","Postcode","Latitude","Longitude","whiskies.Latitude","whiskies.Longitude"
"1",1,"Aberfeldy",2,2,2,0,0,2,1,2,2,2,2,2," 	PH15 2EB",286580,749680,-3.85019901290135,56.6251911499812
"2",2,"Aberlour",3,3,1,0,0,4,3,2,2,3,3,2," 	AB38 9PJ",326340,842570,-3.22964387692912,57.4673947305931
"3",3,"AnCnoc",1,3,2,0,0,2,0,0,2,2,3,2," 	AB5 5LI",352960,839320,-2.78529460523676,57.4417508436895
"4",4,"Ardbeg",4,1,4,4,0,0,2,0,1,2,1,0," 	PA42 7EB",141560,646220,-6.1085028918706,55.6406069251726
"5",5,"Ardmore",2,2,2,0,0,1,1,1,2,3,1,1," 	AB54 4NH",355350,829140,-2.74362851648763,57.3505569832833
"6",6,"ArranIsleOf",2,3,1,1,0,1,1,1,0,1,1,2," KA27 8HJ",194050,649950,-5.27889464413061,55.6991454270982
"7",7,"Auchentoshan",0,2,0,0,0,1,1,0,2,2,3,3," G81 4SJ",247670,672610,-4.43933887549542,55.922373096285
"8",8,"Auchroisk",2,3,1,0,0,2,1,2,2,2,2,1," 	AB55 3XS",340754,848623,-2.9908649053478,57.523871926781
"9",9,"Aultmore",2,2,1,0,0,1,0,0,2,2,2,2," 	AB55 3QY",340754,848623,-2.9908649053478,57.523871926781
"10",10,"Balblair",2,3,2,1,0,0,2,0,2,1,2,1," 	IV19 1LB",270820,885770,-4.17774918666713,57.8427350006672
"11",11,"Balmenach",4,3,2,0,0,2,1,3,3,0,1,2," 	PH26 3PF",307750,827170,-3.53365578129333,57.3257094050057
"12",12,"Belvenie",3,2,1,0,0,3,2,1,0,2,2,2," 	AB55 4DH",332680,840840,-3.1234966962616,57.45284420338
"13",13,"BenNevis",4,2,2,0,0,2,2,0,2,2,2,2," 	PH33 6TJ",212600,775710,-5.07341796092794,56.83495218623
"14",14,"Benriach",2,2,1,0,0,2,2,0,0,2,3,2," 	IV30 8SJ",323450,858380,-3.28278923249236,57.6088927727877
"15",15,"Benrinnes",3,2,2,0,0,3,1,1,2,3,2,2," 	AB38 9NN",325800,839920,-3.23783921683323,57.4435083974772
"16",16,"Benromach",2,2,2,0,0,2,2,1,2,2,2,2," 	IV36 3EB",303330,859350,-3.61976440923869,57.6137370207417
"17",17,"Bladnoch",1,2,1,0,0,0,1,1,0,2,2,3," 	DG8 9AB",242260,554260,-4.45894926576165,54.8581926006122
"18",18,"BlairAthol",2,2,2,0,0,1,2,2,2,2,2,2," 	PH16 5LY",294860,757580,-3.71854407889772,56.6980633824523
"19",19,"Bowmore",2,2,3,1,0,2,2,1,1,1,1,2," 	PA43 7GS",131330,659720,-6.28380622015575,55.7560243235292
"20",20,"Bruichladdich",1,1,2,2,0,2,2,1,2,2,2,2," PA49 7UN",126680,661400,-6.35936447624248,55.7684732961105
"21",21,"Bunnahabhain",1,2,1,1,0,1,1,1,1,2,2,3," PA46 7RR",142210,673170,-6.12365681483146,55.8824749104294
"22",22,"Caol Ila",3,1,4,2,1,0,2,0,2,1,1,1," 	PA46 7RL",142920,670040,-6.10936872002279,55.8548039600664
"23",23,"Cardhu",1,3,1,0,0,1,1,0,2,2,2,2," 	AB38 7RY",318790,843090,-3.35564513398068,57.470774334806
"24",24,"Clynelish",3,2,3,3,1,0,2,0,1,1,2,0," 	KW9 6LB",290250,904230,-3.85920847682015,58.0136474274183
"25",25,"Craigallechie",2,2,2,0,1,2,2,1,2,2,1,4," AB38 9ST",328920,844920,-3.18732784488946,57.4889111980938
"26",26,"Craigganmore",2,3,2,1,0,0,1,0,2,2,2,2," AB37 9AB",316600,836370,-3.38985551931842,57.4100314083573
"27",27,"Dailuaine",4,2,2,0,0,1,2,2,2,2,2,1," 	AB38 7RE",323520,841010,-3.27615489132243,57.4529182718081
"28",28,"Dalmore",3,2,2,1,0,1,2,2,1,2,3,1," 	IV17 0UT",266610,868730,-4.23912032627334,57.6885606640584
"29",29,"Dalwhinnie",2,2,2,0,0,2,1,0,1,2,2,2," 	PH19 1AB",263670,785270,-4.24229278800998,56.9385632569695
"30",30,"Deanston",2,2,1,0,0,2,1,1,1,3,2,1," FK16 6AG",271570,701570,-4.07106371642032,56.1893763731849
"31",31,"Dufftown",2,3,1,1,0,0,0,0,1,2,2,2," AB55 4BR",332360,839200,-3.12837439525495,57.4380680004675
"32",32,"Edradour",2,3,1,0,0,2,1,1,4,2,2,2," PH16 5JP",295960,757940,-3.70073598822836,56.7015425111544
"33",33,"GlenDeveronMacduff",2,3,1,1,1,1,1,2,0,2,0,1," AB4 3JT",372120,860400,-2.46854696867129,57.632679312173
"34",34,"GlenElgin",2,3,1,0,0,2,1,1,1,1,2,3," IV30 3SL",322640,861040,-3.29719257711162,57.632641349649
"35",35,"GlenGarioch",2,1,3,0,0,0,3,1,0,2,2,2," AB51 0ES",381020,827590,-2.31694328453615,57.3384319721492
"36",36,"GlenGrant",1,2,0,0,0,1,0,1,2,1,2,1," AB38 7BS",327610,849570,-3.21055671687761,57.5304628917816
"37",37,"GlenKeith",2,3,1,0,0,1,2,1,2,1,2,1," AB55 3BU",340754,848623,-2.9908649053478,57.523871926781
"38",38,"GlenMoray",1,2,1,0,0,1,2,1,2,2,2,4," IV30 1YE",319820,862320,-3.34482894299557,57.6436422821353
"39",39,"GlenOrd",3,2,1,0,0,1,2,1,1,2,2,2," IV6 7UJ",251810,850860,-4.47618505184996,57.523563684805
"40",40,"GlenScotia",2,2,2,2,0,1,0,1,2,2,1,1," PA28 6DS",172090,621010,-5.6037372950766,55.4298098681784
"41",41,"GlenSpey",1,3,1,0,0,0,1,1,1,2,0,2," AB38 7AU",327760,849140,-3.20792464163303,57.5266252887908
"42",42,"Glenallachie",1,3,1,0,0,1,1,0,1,2,2,2," AB38 9LR",326490,841240,-3.22674361683977,57.4554750292461
"43",43,"Glendronach",4,2,2,0,0,2,1,4,2,2,2,0," AB54 6DA",361200,844930,-2.64892748724793,57.4929202873225
"44",44,"Glendullan",3,2,1,0,0,2,1,2,1,2,3,2," AB55 4DJ",333000,840300,-3.11801722586282,57.4480419456065
"45",45,"Glenfarclas",2,4,1,0,0,1,2,3,2,3,2,2," AB37 9BD",320950,838160,-3.31804910419333,57.4268839320968
"46",46,"Glenfiddich",1,3,1,0,0,0,0,0,0,2,2,2," AB55 4DH",332680,840840,-3.1234966962616,57.45284420338
"47",47,"Glengoyne",1,2,0,0,0,1,1,1,2,2,3,2," G63 9LB",252810,682750,-4.36270646756899,56.0150016657605
"48",48,"Glenkinchie",1,2,1,0,0,1,2,0,0,2,2,2," EH34 5ET",344380,666690,-2.89084527354656,55.8901172461237
"49",49,"Glenlivet",2,3,1,0,0,2,2,2,1,2,2,3," AB37 9DB",319560,828780,-3.33811628381529,57.3424053650924
"50",50,"Glenlossie",1,2,1,0,0,1,2,0,1,2,2,2," IV30 3SS",322640,861040,-3.29719257711162,57.632641349649
"51",51,"Glenmorangie",2,2,1,1,0,1,2,0,2,1,2,2," IV19 1PZ",276750,883450,-4.07673460011579,57.8235848757463
"52",52,"Glenrothes",2,3,1,0,0,1,1,2,1,2,2,0," AB38 7AA",327650,849170,-3.20976988773717,57.5268771130244
"53",53,"Glenturret",2,3,1,0,0,2,2,2,2,2,1,2," PH7 4HA",285630,723580,-3.8541939683654,56.3906029825183
"54",54,"Highland Park",2,2,3,1,0,2,1,1,1,2,1,1," KW15 1SU",345340,1009260,-2.95221548180359,58.9670102197658
"55",55,"Inchgower",1,3,1,1,0,2,2,0,1,2,1,2," AB56 5AB",342610,863970,-2.96351977306024,57.661944374023
"56",56,"Isle of Jura",2,1,2,2,0,1,1,0,2,1,1,1," PA60 7XT",152660,667040,-5.95142776658472,55.8330062348159
"57",57,"Knochando",2,3,1,0,0,2,2,1,2,1,2,2," AB38 7RT",319470,841570,-3.34381012068479,57.4572459652453
"58",58,"Lagavulin",4,1,4,4,1,0,1,2,1,1,1,0," PA42 7DZ",140430,645730,-6.12594557673067,55.6356137419999
"59",59,"Laphroig",4,2,4,4,1,0,0,1,1,1,0,0," PA42 7DU",138680,645160,-6.15312892639383,55.6295685643154
"60",60,"Linkwood",2,3,1,0,0,1,1,2,0,1,3,2," IV30 3RD",322640,861040,-3.29719257711162,57.632641349649
"61",61,"Loch Lomond",1,1,1,1,0,1,1,0,1,2,1,2," G83 0TL",239370,680920,-4.57697272312236,55.994260227858
"62",62,"Longmorn",3,2,1,0,0,1,1,1,3,3,2,3," IV30 3SJ",322640,861040,-3.29719257711162,57.632641349649
"63",63,"Macallan",4,3,1,0,0,2,1,4,2,2,3,1," AB38 9RX",327710,844480,-3.20737615835112,57.4847681898735
"64",64,"Mannochmore",2,1,1,0,0,1,1,1,2,1,2,2," IV30 3SS",322640,861040,-3.29719257711162,57.632641349649
"65",65,"Miltonduff",2,4,1,0,0,1,0,0,2,1,1,2," IV30 3TQ",322640,861040,-3.29719257711162,57.632641349649
"66",66,"Mortlach",3,2,2,0,0,2,3,3,2,1,2,2," AB55 4AQ",332950,839850,-3.11872673643253,57.4439931652283
"67",67,"Oban",2,2,2,2,0,0,2,0,2,2,2,0," PA34 5NH",185940,730190,-5.47183272431121,56.4152589375579
"68",68,"OldFettercairn",1,2,2,0,1,2,2,1,2,3,1,1," AB30 1YE",370860,772900,-2.4793323511307,56.8466257985247
"69",69,"OldPulteney",2,1,2,2,1,0,1,1,2,2,2,2," KW1 5BA",336730,950130,-3.08526137374596,58.434884480437
"70",70,"RoyalBrackla",2,3,2,1,1,1,2,1,0,2,3,2," IV12 5QY",286040,851320,-3.90523053200274,57.537609870306
"71",71,"RoyalLochnagar",3,2,2,0,0,2,2,2,2,2,3,1," AB35 5TB",326140,794370,-3.21860195976112,57.0344875196781
"72",72,"Scapa",2,2,1,1,0,2,1,1,2,2,2,2," KW15 1SE",342850,1008930,-2.99542118080609,58.9637213789762
"73",73,"Speyburn",2,4,1,0,0,2,1,0,0,2,1,2," AB38 7AG",326930,851430,-3.22246891555061,57.5470570328215
"74",74,"Speyside",2,2,1,0,0,1,0,1,2,2,2,2," PH21 1NS",278740,800600,-4.0021736834127,57.0803868161573
"75",75,"Springbank",2,2,2,2,0,2,2,1,2,1,0,1," PA28 6EJ",172280,620910,-5.60065920691764,55.4290014240931
"76",76,"Strathisla",2,2,1,0,0,2,2,2,3,3,3,2," AB55 3BS",340754,848623,-2.9908649053478,57.523871926781
"77",77,"Strathmill",2,3,1,0,0,0,2,0,2,1,3,2," AB55 5DQ",342650,850500,-2.95965616243534,57.5409741820447
"78",78,"Talisker",4,2,3,3,0,1,3,0,1,2,2,0," IV47 8SR",137950,831770,-6.35216607075322,57.3010510515989
"79",79,"Tamdhu",1,2,1,0,0,2,0,1,1,2,2,2," AB38 7RP",319210,841760,-3.34820487937154,57.4589059244886
"80",80,"Tamnavulin",1,3,2,0,0,0,2,0,2,1,2,3," AB37 9JA",321180,826110,-3.31035480377158,57.3187110010405
"81",81,"Teaninich",2,2,2,1,0,0,2,0,0,0,2,2," IV17 0XB",265360,869120,-4.2602870607706,57.6916884852814
"82",82,"Tobermory",1,1,1,0,0,1,0,0,1,2,2,2," PA75 6NR",150450,755070,-6.06953047203131,56.6208059800594
"83",83,"Tomatin",2,3,2,0,0,2,2,1,1,2,0,1," IV13 7YT",279120,829630,-4.01003138482344,57.3411014126826
"84",84,"Tomintoul",0,3,1,0,0,2,2,1,1,2,1,2," AB37 9AQ",315100,825560,-3.41108287276711,57.3126800856074
"85",85,"Tormore",2,2,1,0,0,1,0,1,2,1,0,0," PH26 3LR",315180,834960,-3.41299586766198,57.3971068082939
"86",86,"Tullibardine",2,3,0,0,1,0,2,1,1,2,2,1," PH4 1QG",289690,708850,-3.78228953257721,56.2592956448122
